ip_address,total_in,total_out,total_bytes,kb_per_sec,avg_iat,protocol,is_malicious
64:ff9b::6c9f:1c52,17,15,4060,0.0,4.008952856063843,1,0
2600:9000:2575:9600:19:f28c:cd92:c761,3,3,483,0.0,15.017510056495667,1,0
40.53.1.12,0,36,3761,0.0,3.4470847129821776,2,0
64:ff9b::8c52:7215,13,16,10243,0.0,4.528268456459045,1,0
10.190.12.167,87,73,21614,0.0,1.491459107398987,2,0
fe80::3076:9ff:fe0d:b976,20,6,2893,0.0,4.19158456325531,2,0
64:ff9b::9765:d2d6,31,32,31085,0.0,1.0187683701515198,2,0
10.30.84.55,0,36,3761,0.0,3.4471189379692078,2,0
64:ff9b::2ce7:d1c1,6,5,1026,0.0,8.719172065908259,1,0
2409:40c2:1291:aefb::9f,20,21,5850,0.0,3.186511552333832,2,0
64:ff9b::142a:4158,15,17,9892,0.0,4.089790225028992,1,0
2001:500:a9::160,697,543,587606,0.0,0.0636016845703125,1,0
64:ff9b::284a:4ee5,16,15,16128,0.0,3.0247220039367675,1,0
64:ff9b::1726:3bfa,3,5,1588,0.0,7.568581998348236,1,0
92.223.116.252,5,6,1294,0.0,6.847734321247447,1,0
64:ff9b::8c52:701a,6,4,878,0.0,7.499926805496216,1,0
64:ff9b::8c52:711a,6,4,882,0.0,7.48965539932251,1,0
2001:67c:2e8:22::c100:697,187,151,150230,0.0,0.016760218143463134,1,0
162.159.200.123,2,2,360,0.0,14.987282872200012,2,0
20.207.73.85,13,10,7862,0.0,0.02800934314727783,1,0
64:ff9b::83fd:21cb,9,8,7656,0.0,0.018896004732917335,1,0
2a04:4e42:9::684,3,1,344,0.0,0.8458369374275208,1,0
151.101.38.172,3,4,887,0.0,0.054632527487618585,1,0
64:ff9b::6c9f:1c52,17,15,4060,0.0,4.008952856063843,1,0
2600:9000:2575:9600:19:f28c:cd92:c761,3,3,483,0.0,15.017510056495667,1,0
40.53.1.12,0,37,3906,0.0,4.620491707324982,2,0
64:ff9b::8c52:7215,16,19,10750,0.0,6.016549730300904,1,0
10.190.12.167,93,79,23612,0.0,0.956706440448761,2,0
fe80::3076:9ff:fe0d:b976,20,6,2893,0.0,4.19158456325531,2,0
64:ff9b::9765:d2d6,31,32,31085,0.0,1.0187683701515198,2,0
10.30.84.55,0,36,3761,0.0,3.4471189379692078,2,0
64:ff9b::2ce7:d1c1,6,5,1026,0.0,8.719172065908259,1,0
2409:40c2:1291:aefb::9f,20,21,5850,0.0,3.186511552333832,2,0
64:ff9b::142a:4158,20,23,13286,0.0,3.1580711245536803,1,0
2001:500:a9::160,697,543,587606,0.0,0.0636016845703125,1,0
64:ff9b::284a:4ee5,16,15,16128,0.0,3.0247220039367675,1,0
64:ff9b::1726:3bfa,3,5,1588,0.0,7.568581998348236,1,0
92.223.116.252,5,6,1294,0.0,6.847734321247447,1,0
64:ff9b::8c52:701a,6,4,878,0.0,7.499926805496216,1,0
64:ff9b::8c52:711a,6,4,882,0.0,7.48965539932251,1,0
2001:67c:2e8:22::c100:697,187,151,150230,0.0,0.016760218143463134,1,0
162.159.200.123,2,2,360,0.0,14.987282872200012,2,0
20.207.73.85,13,10,7862,0.0,0.02800934314727783,1,0
64:ff9b::83fd:21cb,9,8,7656,0.0,0.018896004732917335,1,0
2a04:4e42:9::684,3,1,344,0.0,0.8458369374275208,1,0
151.101.38.172,3,4,887,0.0,0.054632527487618585,1,0
2620:1ec:bdf::72,60,26,76805,0,0.0007597088813781738,1,0
64:ff9b::6c9f:1c52,91,73,34835,0.0,0.02567087411880493,1,0
10.190.12.167,95,93,24980,0.0,0.35305980443954466,2,0
2606:4700:8ca2:7cbc:c2a5:4ba:5ff2:75c4,199,217,348038,0.0,0.006984603404998779,2,0
40.53.1.12,0,32,3474,0.0,0.8690186023712159,2,0
2600:9000:2575:9600:19:f28c:cd92:c761,78,34,87397,0.0,0.0009520769119262696,1,0
64:ff9b::9765:d2d6,99,116,150244,0.0,0.03178408145904541,2,0
fe80::3076:9ff:fe0d:b976,3,1,450,0.0,5.006296098232269,2,0
2600:140f:1e00:4b2::21cc,0,7,518,0.0,2.7027459485190257,1,0
2404:6800:4009:805::2003,0,7,518,0.0,2.7026051112583707,1,0
10.30.84.55,0,24,2696,0.0,1.0488121032714843,2,0
2600:9000:26ba:d000:12:bd7a:5b00:93a1,23,24,20861,0.0,0.15551981925964356,2,0
64:ff9b::2ce7:d1c1,11,10,2860,0.0,0.17283402681350707,1,0
64:ff9b::6c9f:2804,12,12,6504,0.0,0.004790604114532471,1,0
64:ff9b::6c9f:2e2a,105,83,127755,0.0,0.015171825885772705,2,0
2406:da12:29e:5a01:8d49:7c68:ac2d:54bf,30,37,29270,0.0,0.00664287805557251,1,0
2600:9000:2576:8400:2:bc55:f840:93a1,19,16,17319,0.0,0.013670206069946289,1,0
2406:da1a:dfe:8e05:4a0f:f659:78f9:c9f3,14,13,10300,0.0,0.014274251461029053,1,0
151.101.38.172,2,2,216,0.0,0.036515653133392334,1,0
64:ff9b::83fd:21cb,2,2,298,0.0,0.01845407485961914,1,0
64:ff9b::8c52:701a,5,4,1010,0.0,1.6659221914079454,1,0
64:ff9b::14cf:4955,46,40,28991,0.0,0.2280004382133484,1,0
64:ff9b::8c52:7216,135,145,166140,0.0,0.05203986167907715,1,0
140.82.114.22,3,1,264,0.0,0.8307199478149414,1,0
64:ff9b::14cf:4952,310,144,378673,0.0,0.024365270137786867,1,0
64:ff9b::b9c7:6e9a,1480,624,1860148,0.0,0.008116507530212402,1,0
2606:50c0:8003::154,127,76,128756,0.0,0.5222860336303711,1,0
2409:40c2:1291:aefb::9f,2,2,403,0.0,1.214724063873291,2,0
216.31.12.15,5,5,726,0.0,0.0744882345199585,1,0
2001:500:13::160,50,34,47468,0.0,0.022164368629455568,1,0
64:ff9b::b9c7:6f85,28,19,30674,0.0,0.0005526423454284668,1,0
64:ff9b::8c52:711a,1,1,161,0.0,0.10438740253448486,1,0
2001:500:a9::160,247,218,190445,9.0,0.052302980422973634,1,0
2606:4700:8ca2:1cf8:6cd7:4ba:6812:eb44,16,12,13296,0.0,0.008176732063293456,1,0
64:ff9b::142a:4158,4,6,3314,0.0,0.08674545288085937,1,0
64:ff9b::6c9f:1c52,91,73,34835,0.0,0.02567087411880493,1,0
10.190.12.167,115,112,29948,0.0,0.3395564556121826,2,0
2606:4700:8ca2:7cbc:c2a5:4ba:5ff2:75c4,203,224,356133,0.0,1.2056799173355102,2,0
40.53.1.12,0,40,4328,0.0,1.291275441646576,2,0
2600:9000:2575:9600:19:f28c:cd92:c761,78,34,87397,0.0,0.0009520769119262696,1,0
64:ff9b::9765:d2d6,99,116,150244,0.0,0.03178408145904541,2,0
fe80::3076:9ff:fe0d:b976,5,2,761,0.0,5.7205906595502585,2,0
2600:140f:1e00:4b2::21cc,0,7,518,0.0,2.7027459485190257,1,0
2404:6800:4009:805::2003,0,7,518,0.0,2.7026051112583707,1,0
10.30.84.55,0,36,3877,0.0,1.2185314178466797,2,0
2600:9000:26ba:d000:12:bd7a:5b00:93a1,23,24,20861,0.0,0.15551981925964356,2,0
64:ff9b::2ce7:d1c1,11,10,2860,0.0,0.17283402681350707,1,0
64:ff9b::6c9f:2804,12,12,6504,0.0,0.004790604114532471,1,0
64:ff9b::6c9f:2e2a,105,83,127755,0.0,0.015171825885772705,2,0
2406:da12:29e:5a01:8d49:7c68:ac2d:54bf,30,37,29270,0.0,0.00664287805557251,1,0
2600:9000:2576:8400:2:bc55:f840:93a1,19,16,17319,0.0,0.013670206069946289,1,0
2406:da1a:dfe:8e05:4a0f:f659:78f9:c9f3,14,13,10300,0.0,0.014274251461029053,1,0
151.101.38.172,2,2,216,0.0,0.036515653133392334,1,0
64:ff9b::83fd:21cb,2,2,298,0.0,0.01845407485961914,1,0
64:ff9b::8c52:701a,5,4,1010,0.0,1.6659221914079454,1,0
64:ff9b::14cf:4955,46,40,28991,0.0,0.2280004382133484,1,0
64:ff9b::8c52:7216,138,147,166536,0.0,0.3483330965042114,1,0
140.82.114.22,3,1,264,0.0,0.8307199478149414,1,0
64:ff9b::14cf:4952,317,147,384976,0.0,0.12375004291534424,1,0
64:ff9b::b9c7:6e9a,1480,624,1860148,0.0,0.008116507530212402,1,0
2606:50c0:8003::154,127,76,128756,0.0,0.5222860336303711,1,0
2409:40c2:1291:aefb::9f,2,2,403,0.0,1.214724063873291,2,0
216.31.12.15,5,5,726,0.0,0.0744882345199585,1,0
2001:500:13::160,50,34,47468,0.0,0.022164368629455568,1,0
64:ff9b::b9c7:6f85,28,19,30674,0.0,0.0005526423454284668,1,0
64:ff9b::8c52:711a,3,2,441,0.0,2.9949548721313475,1,0
2001:500:a9::160,676,556,533415,22.98,0.04464257955551147,1,0
2606:4700:8ca2:1cf8:6cd7:4ba:6812:eb44,16,12,13296,0.0,0.008176732063293456,1,0
64:ff9b::142a:4158,7,10,6332,0.0,0.3746178711161894,1,0
2620:1ec:bdf::72,1,1,161,0.0,0.009538531303405762,1,0
2606:4700:8d72:1cf8:6cd7:4bb:6812:eb44,25,19,21150,0.0,0.01709519624710083,1,0
162.159.200.123,1,1,180,0.0,0.018491625785827637,2,0
2606:4700:8ca2:1cf8:6c42:4ba:6812:eb44,14,10,10645,0.0,0.009016680717468261,1,0
10.190.12.167,186,176,46773,0.0,1.286322045326233,2,0
40.53.1.12,0,64,6846,0.0,6.556316161155701,2,0
2600:9000:2575:9600:19:f28c:cd92:c761,82,38,88041,0.0,9.005087888240814,1,0
fe80::3076:9ff:fe0d:b976,20,9,3080,0.0,6.605033254623413,2,0
2404:6800:4009:805::2003,9,7,1184,0.0,10.111301943659782,1,0
10.30.84.55,0,61,6411,0.0,5.913048458099365,2,0
64:ff9b::6c9f:2804,16,16,7148,0.0,9.01310476064682,1,0
2600:9000:2576:8400:2:bc55:f840:93a1,23,20,17963,0.0,9.00776379108429,1,0
64:ff9b::8c52:701a,11,8,1888,0.0,7.101754891244989,1,0
64:ff9b::14cf:4955,66,56,40088,0.0,1.5185678601264954,1,0
64:ff9b::8c52:7216,148,155,168046,0.0,5.733402490615845,1,0
64:ff9b::b9c7:6e9a,1486,630,1861114,0.0,6.756261920928955,1,0
2606:50c0:8003::154,130,79,129239,0.0,7.277364253997803,1,0
2409:40c2:1291:aefb::9f,17,17,3983,0.0,4.257050561904907,2,0
64:ff9b::b9c7:6f85,31,22,31157,0.0,6.756244444847107,1,0
64:ff9b::8c52:711a,9,6,1323,0.0,9.00647390683492,1,0
64:ff9b::142a:4158,16,18,10208,0.0,7.1533331871032715,1,0
162.159.200.123,3,3,540,0.0,20.006768266359966,2,0
2606:4700:8ca2:1cf8:6c42:4ba:6812:eb44,29,21,21192,0.0,0.007218539714813232,1,0
20.207.73.85,27,22,15502,0.0,0.03028174638748169,1,0
2a03:2880:f288:cc:face:b00c:0:167,55,47,41342,0.0,0.41437913179397584,1,0
64:ff9b::d6b:55d,20,17,14338,0.0,4.51232430934906,1,0
192.168.31.175,0,14,924,0.06,6.2182619741984775,1,0
2404:6800:4000:1025::54,20,20,17053,0.0,0.017731797695159913,2,0
2603:1063:27:4::14,13,8,12717,0.0,0.026135170459747316,1,0
10.190.12.167,218,201,54282,0.0,0.913602089881897,2,0
40.53.1.12,0,71,7552,0.0,12.099069094657898,2,0
fe80::3076:9ff:fe0d:b976,31,13,4741,0.0,8.564332580566406,2,0
10.30.84.55,0,69,7262,0.0,12.098623776435852,2,0
64:ff9b::8c52:701a,20,14,3207,0.07,12.006130456924438,1,0
64:ff9b::b9c7:6e9a,1492,636,1862080,0.0,11.258117592334747,1,0
2606:50c0:8003::154,133,82,129722,0.0,13.51346880197525,1,0
2409:40c2:1291:aefb::9f,22,22,4989,0.0,6.649826884269714,2,0
64:ff9b::b9c7:6f85,34,25,31640,0.0,13.511059606075287,1,0
64:ff9b::8c52:711a,16,11,2366,0.0,12.000409185886383,1,0
2001:500:a9::160,2027,1282,1945979,0.0,0.07948521375656128,1,0
2603:1040:a06:6::,5,4,1218,0.0,29.939207474390667,1,0
20.207.73.85,39,31,23033,0.0,0.02263253927230835,1,0
192.168.31.175,0,25,1650,0.0,8.003743493556977,1,0
2603:1063:27:4::14,31,22,27773,0.07,3.2669766783714294,1,0
64:ff9b::d59:b30b,38,39,35061,0.0,1.9447370052337647,1,0
162.159.200.1,2,2,360,0.0,15.006995975971222,2,0
2620:1ec:46::48,61,23,77061,0.0,0.0032256245613098145,1,0
ff02::16,0,5,450,0.0,0.015364646911621094,0,0
224.0.0.22,0,5,270,0.0,0.011021041870117187,0,0
ff02::1:3,0,2,174,0.0,0.19900000095367432,2,0
224.0.0.252,0,2,134,0.0,0.19873976707458496,2,0
2404:6800:4009:826::200e,18,14,14581,0.0,0.045069336891174316,2,0
10.190.12.167,2441,2296,601954,0.0,0.5392270565032959,2,0
40.53.1.12,0,494,54382,0.0,1.2062213659286498,2,0
fe80::3076:9ff:fe0d:b976,402,240,63139,0.0,12.915024614334106,2,0
10.30.84.55,0,486,53530,0.0,1.0123701214790344,2,0
2409:40c2:1291:aefb::9f,418,418,104672,0.0,1.0938642263412475,2,0
2001:500:13::160,1806,1408,1534507,4.23,0.00344240665435791,1,0
162.159.200.123,60,60,10800,0.0,30.00003387928009,2,0
2001:500:31::160,817,637,699180,0.0,0.08127055168151856,1,0
64:ff9b::8c52:7019,134,111,49690,0.0,11.996021330356598,1,0
2620:1ec:33:2::11,37,39,39209,0.0,2.2602612257003782,1,0
2404:6800:4003:c1a::77,3123,990,3902310,0.0,0.0006201863288879395,2,0
2606:4700:8ca2:1cf8:6cca:4c0:6812:eb44,143,94,104050,0.0,0.004228532314300537,1,0
2404:6800:4009:15::9,70895,21420,92556114,0.0,0.0006239414215087891,2,0
64:ff9b::8c52:7219,67,60,31443,0.0,9.722070181369782,1,0
2600:140f:1e00::17c4:ee3,115,94,108757,0.0,1.0104615926742553,2,0
2603:1046:900:2c::2,14,14,11187,0.0,0.12969639301300048,1,0
2603:1063:2000:1::254,20,15,11568,0.16,2.256087803840637,1,0
64:ff9b::d6b:2afe,17,17,11592,0.07,2.255260634422302,1,0
2620:1ec:29:1::254,12,10,10272,0.0,2.2558666229248048,1,0
2620:1ec:27:e713::cafe:e713,9,9,8346,0.0,0.028196414311726887,1,0
104.18.157.37,48,36,46195,0.0,0.8385592222213745,1,0
104.16.55.40,30,29,29023,0.0,0.5203834176063538,1,0
104.18.41.183,73,82,78883,0.0,0.4104055881500244,1,0
2404:6800:4009:80c::200e,28,26,29146,0.0,0.006480014324188233,2,0
64:ff9b::6812:9d25,182,66,212672,0.0,0.24220430850982666,1,0
64:ff9b::6810:7832,68,63,55007,0.0,0.011151480674743652,1,0
64:ff9b::6810:3915,12,12,11762,0.0,0.2457782506942749,1,0
2606:4700:8d70:de94:ea43:4ba:29af:dd13,58,52,47962,0.0,0.030582237243652343,1,0
2606:4700:8ca0:2a9:e3d7:4c0:dc5b:13d0,53,49,43680,0.0,0.02551705837249756,1,0
2606:4700:8ca0:2a9:e39e:4c0:dc5b:13d0,13,13,10248,0.0,0.2335546612739563,1,0
2606:4700:8ca0:2a9:e3ca:4c0:dc5b:13d0,31,27,21135,0.0,0.020534598827362062,1,0
172.65.252.238,156,83,109090,0.0,1.1346558332443237,1,0
2606:4700:8d70:166d:faa5:4ba:bdca:33d7,11,12,8366,0.0,0.07412350177764893,1,0
2606:4700:8d71:d44d:30d7:4ba:e055:718f,64,53,48817,0.0,0.10846368074417115,1,0
104.18.40.25,10,11,8152,0.0,0.04258097410202026,1,0
2606:4700:8ca1:d44d:3042:4c0:e055:718f,146,88,152604,0.0,0.0734601378440857,1,0
2606:4700:8d71:d44d:309e:4bb:e055:718f,24,17,20842,0.0,0.5435695767402648,1,0
104.17.174.5,15,16,11748,0.0,0.009718012809753419,1,0
104.17.173.5,61,54,48304,0.0,0.5214281558990479,1,0
2606:4700:8ca1:d44d:30d7:4c0:e055:718f,36,25,30655,0.0,0.08480156660079956,1,0
64:ff9b::6813:9351,14,14,17292,0.0,0.008239150047302246,1,0
64:ff9b::6810:3828,9,10,9014,0.0,0.5091903209686279,1,0
2606:4700:8d70:2a9:e3d7:4ba:dc5b:13d0,16,15,11730,0.0,0.732777190208435,1,0
2606:4700:8d71:d44d:30d7:4bb:e055:718f,1880,477,2590507,0.0,0.5196332812309266,1,0
104.18.38.208,39,20,28363,0.0,0.02522796392440796,1,0
64:ff9b::312c:8282,179,45,233934,0.0,0.0008812189102172851,1,0
2606:4700:8ca0:c416:87a5:4c0:2e6c:252a,41,23,24109,0.0,0.03457667827606201,1,0
2606:4700:8d70:c416:87d7:4bb:2e6c:252a,19,14,12088,0.0,0.06617552042007446,1,0
2405:200:1602::312c:3219,3556,664,4550292,0.0,0.906814694404602,2,0
2606:4700:8d72:1cf8:6c42:4c2:6812:eb44,15,8,10554,0.0,0.011958980560302734,1,0
2607:6bc0::10,208,127,134520,0.0,0.09585764408111572,1,0
40.53.1.12,0,33,4027,0.0,5.404469048976898,2,0
2404:6800:4009:806::200a,4,3,807,0.0,15.857045480183192,2,0
2606:4700:9ae6:d299:d3de:50b:ae35:d89c,9,7,1507,0.0,6.775711998343468,1,0
10.161.20.238,54,48,13443,0.23,0.4451399326324463,2,0
fe80::a8dc:59ff:fe82:362d,10,6,1588,0.0,7.323191836476326,2,0
2409:40c2:27:e5::4f,9,10,2192,0.0,5.5170190585287,2,0
2606:4700:9ae3:ce55:6dde:509:5caa:d12d,3054,3293,2380086,0.0,0.004767465591430664,1,0
10.119.220.194,0,16,1883,0.0,6.866329699754715,2,0
64:ff9b::36d0:a3ec,4,2,614,0.0,17.315516034762066,1,0
2404:6800:4009:805::2003,6,7,4962,0.0,5.956784633489756,2,0
2404:6800:4009:81e::200e,2,3,383,0.0,15.255686950683593,1,0
2620:1ec:50::12,41,44,47025,0.0,0.02504706382751465,2,0
2606:4700:9ae1:d8b7:9ade:509:ccf5:ac50,6,3,822,0.0,10.898845301734077,1,0
64:ff9b::c7e8:695b,6,4,982,0.0,8.486042308807374,1,0
2606:4700:9ae3:ce55:6dde:50d:5caa:d12d,1777,1953,1441984,0.0,0.010557055473327637,1,0
2001:500:13::160,210,138,179106,0.08,0.4697785973548889,1,0
2606:4700:9ae2:1cf8:6cde:50b:6812:eb44,15,11,11844,0.0,0.05329809188842773,1,0
2600:9000:200a:d800:15:85fe:56c0:93a1,10,12,6146,0.0,0.24945580959320068,1,0
2a04:4e42:400::485,3,2,394,0.0,0.09037299156188965,1,0
2404:6800:4009:80e::200a,1,2,222,0.0,0.15265711148579916,1,0
2606:4700:9ae8:a421:30de:50b:1617:819f,1,2,222,0.0,0.39832107226053876,1,0
2404:6800:4009:819::2005,18,10,10502,0.0,0.023530256748199464,1,0
2606:4700:9ae2:1cf8:6cfe:507:6812:eb44,5,2,2470,0.0,0.20394015312194824,1,0
2001:67c:2e8:22::c100:697,12,7,11672,0.0,0.23273109134874845,1,0
2001:4860:482a:7700::,2,2,296,0.0,0.06529808044433594,1,0
64:ff9b::8c52:721a,2,1,278,0.0,0.21918193499247232,1,0
